,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ostrovnoy,68.05,39.51,32.72,93,98,20.0,RU,1605415338
1,Mahébourg,-20.41,57.7,73.4,78,75,12.75,MU,1605415339
2,Qaanaaq,77.48,-69.36,11.77,82,100,12.84,GL,1605415339
3,Hougonglama,40.71,112.04,55.4,43,13,2.24,CN,1605415339
4,Cape Town,-33.93,18.42,59.0,72,0,8.05,ZA,1605415339
5,Atuona,-9.8,-139.03,77.63,75,73,16.37,PF,1605415339
6,Flinders,-34.58,150.85,82.0,63,0,4.0,AU,1605415340
7,Tiksi,71.64,128.87,-5.64,89,69,7.65,RU,1605415340
8,Pushkinskiye Gory,57.02,28.91,30.0,97,69,3.71,RU,1605415340
9,Aykhal,65.95,111.51,-0.4,84,75,4.47,RU,1605415340
10,Castro,-42.48,-73.76,42.01,86,0,4.7,CL,1605415341
11,Avarua,-21.21,-159.78,78.8,78,37,8.05,CK,1605415341
12,Saskylakh,71.97,114.09,6.69,93,100,11.86,RU,1605415341
13,Durango,23.99,-104.67,55.44,44,0,5.68,MX,1605415341
14,Albany,42.65,-73.75,32.0,92,1,0.4,US,1605415341
15,Vilyuysk,63.75,121.63,2.53,93,100,7.11,RU,1605415342
16,Ushuaia,-54.81,-68.31,41.0,75,75,11.41,AR,1605415342
17,Bambous Virieux,-20.34,57.76,79.0,78,75,12.75,MU,1605415342
18,Kodinsk,58.6,99.18,20.48,95,92,1.36,RU,1605415342
19,Teknāf,20.86,92.31,85.48,48,0,1.68,BD,1605415342
20,Busselton,-33.64,115.35,64.0,59,62,3.0,AU,1605415343
21,Ambon,47.55,-2.56,60.8,93,90,19.46,FR,1605415343
22,Maragogi,-9.01,-35.22,76.28,83,1,8.46,BR,1605415087
23,Terry,46.84,-105.12,33.01,86,20,20.8,US,1605415344
24,Kantang,7.42,99.52,86.0,88,20,9.17,TH,1605415344
25,Colonelganj,27.13,81.7,81.28,25,0,1.95,IN,1605415344
26,Punta Arenas,-53.16,-70.91,46.4,70,75,20.8,CL,1605415344
27,Rikitea,-23.12,-134.97,75.83,83,59,13.06,PF,1605415345
28,New Norfolk,-42.78,147.06,60.01,78,98,2.1,AU,1605415345
29,Qingdao,36.09,120.35,64.4,59,0,4.47,CN,1605415345
30,Port Hardy,50.7,-127.42,42.8,86,90,29.97,CA,1605415346
31,Arman',59.7,150.17,16.97,93,100,7.31,RU,1605415346
32,Mamakan,57.82,114.02,19.74,87,97,5.21,RU,1605415346
33,Bethel,60.79,-161.76,19.4,85,1,10.29,US,1605415346
34,Clinton,41.84,-90.19,51.8,93,90,14.99,US,1605415346
35,Varhaug,58.61,5.65,52.0,99,97,5.01,NO,1605415347
36,Çankırı,40.67,33.6,39.63,82,10,4.56,TR,1605415347
37,Capitán Pablo Lagerenza,-19.93,-60.77,83.28,52,0,6.2,PY,1605415347
38,Hermanus,-34.42,19.24,55.99,92,97,4.85,ZA,1605415347
39,Torbay,47.66,-52.73,35.01,96,90,24.16,CA,1605415348
40,Yellowknife,62.45,-114.38,3.2,84,90,6.93,CA,1605415348
41,Kruisfontein,-34.0,24.73,60.01,94,100,8.16,ZA,1605415348
42,Puerto Ayora,-0.74,-90.35,70.0,82,73,7.0,EC,1605415375
43,Rosita,13.92,-84.4,72.82,96,100,3.11,NI,1605415375
44,Beloha,-25.17,45.06,73.42,51,0,17.07,MG,1605415376
45,Laurel Lake,39.31,-74.98,45.0,68,1,4.72,US,1605415376
46,Port Alfred,-33.59,26.89,65.97,77,4,8.14,ZA,1605415376
47,Garchitorena,13.88,123.7,85.23,70,24,10.0,PH,1605415376
48,Savannah,39.95,-94.76,55.4,47,75,23.04,US,1605415376
49,Caleta Olivia,-46.43,-67.52,55.74,42,78,14.07,AR,1605415377
50,Tāybād,34.74,60.78,43.66,54,0,5.64,IR,1605415377
51,Cabo San Lucas,22.89,-109.91,72.0,75,53,1.99,MX,1605415377
52,Tiarei,-17.53,-149.33,80.6,78,20,6.93,PF,1605415377
53,Khatanga,71.98,102.47,0.45,93,100,16.33,RU,1605415378
54,Pisco,-13.71,-76.2,62.6,93,40,12.75,PE,1605415378
55,Kolyvan',55.31,82.74,22.71,92,75,4.47,RU,1605415378
56,Hofn,64.25,-15.21,37.4,77,99,17.16,IS,1605415378
57,Bontang,0.12,117.47,85.73,68,34,8.63,ID,1605415378
58,Sault Ste. Marie,46.49,-84.36,41.0,80,90,14.99,US,1605415379
59,Zhigansk,66.77,123.37,-5.01,91,78,4.38,RU,1605415230
60,Thompson,55.74,-97.86,14.0,85,90,12.75,CA,1605415379
61,Pevek,69.7,170.27,0.5,87,4,9.51,RU,1605415379
62,Nanortalik,60.14,-45.24,21.4,82,0,4.47,GL,1605415379
63,Bilibino,68.06,166.44,-2.81,83,86,3.87,RU,1605415380
64,Dikson,73.51,80.55,22.35,98,100,7.07,RU,1605415380
65,Hambantota,6.12,81.12,86.0,84,40,5.82,LK,1605415380
66,Beja,38.02,-7.87,62.6,93,75,11.41,PT,1605415380
67,Fortuna,38.18,-1.13,59.0,94,29,2.68,ES,1605415381
68,Capitólio,-20.63,-46.0,65.26,87,100,1.19,BR,1605415381
69,Qasigiannguit,68.82,-51.19,1.4,54,0,24.16,GL,1605415381
70,Butaritari,3.07,172.79,82.17,67,68,8.52,KI,1605415381
71,Virginia Beach,36.85,-75.98,51.8,81,75,6.53,US,1605415382
72,Hobyo,5.35,48.53,81.9,70,6,15.3,SO,1605415382
73,Vamvakoú,39.45,22.34,39.2,93,20,0.45,GR,1605415382
74,Pontes e Lacerda,-15.23,-59.33,76.71,68,65,3.22,BR,1605415382
75,Khor,47.88,134.96,37.62,78,28,8.37,RU,1605415383
76,Crotone,39.09,17.12,60.4,66,100,2.48,IT,1605415383
77,Bāglung,28.27,83.59,73.99,33,72,4.59,NP,1605415383
78,Raglan,-37.8,174.87,72.0,57,0,10.0,NZ,1605415383
79,Jamestown,-33.21,138.6,99.64,14,57,29.62,AU,1605415383
80,Sur,22.57,59.53,80.1,63,6,14.36,OM,1605415384
81,Araouane,18.9,-3.53,72.16,21,0,10.8,ML,1605415384
82,Emerald,-23.53,148.16,102.2,21,0,8.05,AU,1605415384
83,Newstead,-41.43,147.14,68.0,59,82,5.82,AU,1605415182
84,Ul'yanovka,59.7,30.79,30.2,86,90,4.47,RU,1605415384
85,Ambilobe,-13.19,49.05,78.53,74,98,5.7,MG,1605415385
86,Cidreira,-30.17,-50.22,70.52,88,34,14.79,BR,1605415385
87,Ternate,14.29,120.72,93.0,70,40,6.93,PH,1605415385
88,Tarauacá,-8.16,-70.77,74.43,90,27,2.33,BR,1605415361
89,Bella Vista,-28.51,-59.05,67.23,99,100,0.29,AR,1605415385
90,Xichang,27.88,102.25,67.95,51,1,2.93,CN,1605415386
91,Antioch,38.0,-121.81,51.01,79,0,3.24,US,1605415386
92,Al Mikhlāf,17.54,44.22,57.2,41,0,1.23,SA,1605415386
93,Agirish,61.92,63.02,11.48,89,88,4.16,RU,1605415386
94,Gore,-46.19,168.86,73.0,62,99,4.0,NZ,1605415386
95,Komatsushimachō,33.93,134.5,66.2,63,40,9.17,JP,1605415386
96,Shalinskoye,55.72,93.76,21.58,90,0,0.76,RU,1605415387
97,Tres Arroyos,-38.31,-60.23,47.28,71,6,6.69,AR,1605415387
98,Sorong,-0.86,131.25,83.46,76,97,7.94,ID,1605415387
99,Kingston,44.23,-76.48,37.0,86,5,3.36,CA,1605415313
100,Ketchikan,55.34,-131.65,41.0,86,90,5.82,US,1605415387
101,Kapaa,22.08,-159.32,78.8,74,40,11.41,US,1605415388
102,Mbigou,-1.9,11.91,67.37,98,99,0.89,GA,1605415388
103,Yakeshi,49.28,120.73,22.89,96,0,5.82,CN,1605415388
104,Hilo,19.71,-155.08,71.6,83,90,5.82,US,1605415189
105,Whitehorse,60.72,-135.06,19.4,85,90,2.24,CA,1605415389
106,Bonthe,7.53,-12.5,77.14,83,0,0.85,SL,1605415389
107,Bara,10.41,10.6,73.29,28,9,9.46,NG,1605415389
108,Lompoc,34.64,-120.46,52.0,93,1,3.36,US,1605415389
109,Port Blair,11.67,92.75,84.2,66,4,14.97,IN,1605415389
110,Bredasdorp,-34.53,20.04,59.0,72,65,1.12,ZA,1605415390
111,Thinadhoo,0.53,72.93,83.61,74,100,14.0,MV,1605415390
112,Koumac,-20.56,164.28,80.19,72,56,9.37,NC,1605415390
113,Faanui,-16.48,-151.75,80.46,74,44,7.25,PF,1605415390
114,Xam Nua,20.42,104.04,66.92,63,86,3.29,LA,1605415390
115,East London,-33.02,27.91,64.4,82,75,6.93,ZA,1605415391
116,São Filipe,14.9,-24.5,80.15,61,100,7.2,CV,1605415391
117,Deputatsky,69.3,139.9,-12.26,90,42,3.44,RU,1605415391
118,Chuí,-33.69,-53.46,65.93,94,100,2.51,BR,1605415391
119,Ashland,37.17,-99.65,39.99,50,43,11.99,US,1605415391
120,Forio,40.73,13.86,62.6,77,75,3.36,IT,1605415391
121,Russkaya Polyana,53.78,73.88,25.72,94,100,12.03,RU,1605415392
122,San Felipe,-32.75,-70.73,46.6,80,0,0.63,CL,1605415392
123,Arraial do Cabo,-22.97,-42.02,72.73,93,93,1.81,BR,1605415392
124,Margate,-43.03,147.26,54.0,93,99,4.72,AU,1605415392
125,Aklavik,68.22,-135.01,5.0,77,92,10.29,CA,1605415393
126,Lokosovo,61.13,74.84,2.21,92,16,4.36,RU,1605415393
127,Paita,-5.09,-81.11,61.65,86,5,7.27,PE,1605415393
128,Cravo Norte,6.3,-70.2,76.6,87,83,3.83,CO,1605415393
129,Motygino,58.18,94.69,20.64,95,72,0.38,RU,1605415393
130,West Wendover,40.74,-114.07,37.4,40,90,3.8,US,1605415394
131,Adrar,27.87,-0.29,59.0,28,0,8.05,DZ,1605415394
132,Melfi,41.0,15.66,52.0,95,96,3.0,IT,1605415394
133,Kibungo,-2.2,30.56,64.4,100,75,2.24,RW,1605415394
134,Iqaluit,63.75,-68.52,19.4,67,75,5.82,CA,1605415394
135,Lavrentiya,65.58,-170.99,19.47,89,94,8.21,RU,1605415395
136,Morondava,-20.3,44.28,82.45,56,0,4.7,MG,1605415395
137,Londa,15.34,74.49,77.0,65,20,13.87,IN,1605415395
138,Georgetown,6.8,-58.16,78.8,88,99,5.99,GY,1605415395
139,Linqiong,30.43,103.62,75.99,72,33,2.24,CN,1605415395
140,Sarāi Mīr,26.02,82.92,75.2,64,0,1.12,IN,1605415396
141,Yichun,47.72,128.88,34.39,82,57,7.52,CN,1605415396
142,Plainview,34.18,-101.71,50.0,25,1,11.41,US,1605415396
143,Comodoro Rivadavia,-45.87,-67.48,57.2,42,0,13.87,AR,1605415396
144,Nardaran,40.56,50.01,48.2,87,0,9.17,AZ,1605415396
145,Nagua,19.37,-69.85,71.01,96,98,4.43,DO,1605415396
146,Ibrā’,22.69,58.55,77.47,42,1,3.38,OM,1605415397
147,Ganzhou,25.86,114.93,80.71,43,3,3.36,CN,1605415283
148,Talnakh,69.49,88.39,-8.5,90,100,12.01,RU,1605415397
149,Palmar Chico,18.62,-100.35,69.28,77,0,3.69,MX,1605415397
150,Sinnamary,5.38,-52.96,78.84,86,98,9.78,GF,1605415397
151,Caraguatatuba,-23.68,-45.44,71.37,84,23,3.31,BR,1605415398
152,Havøysund,71.0,24.66,41.0,75,0,34.45,NO,1605415398
153,Bjørnevatn,69.67,29.98,37.4,86,74,31.09,NO,1605415398
154,Narsaq,60.91,-46.05,12.2,61,0,4.7,GL,1605415398
155,Charlestown,41.38,-71.64,37.99,74,1,7.7,US,1605415399
156,Trat,12.25,102.51,89.6,43,20,11.41,TH,1605415399
157,Manado,1.49,124.85,87.8,70,40,10.29,ID,1605415399
158,Trapani,38.02,12.54,66.0,88,20,9.17,IT,1605415399
159,São João da Barra,-21.64,-41.05,72.28,92,100,7.63,BR,1605415399
160,Saint-Philippe,45.36,-73.48,33.8,86,0,2.24,CA,1605415400
161,Haines Junction,60.75,-137.51,6.8,84,100,1.45,CA,1605415400
162,Kathmandu,27.71,85.32,64.4,63,20,2.24,NP,1605415400
163,Norman Wells,65.28,-126.83,-13.0,75,75,2.24,CA,1605415400
164,Brainerd,46.36,-94.2,35.01,97,90,4.7,US,1605415400
165,Xiaxihao,40.29,97.04,46.36,53,6,21.3,CN,1605415401
166,Straumen,63.87,11.3,46.99,65,0,21.92,NO,1605415401
167,Camacha,33.08,-16.33,69.8,94,75,9.17,PT,1605415401
168,Tekanto,21.05,-89.07,78.01,94,5,4.7,MX,1605415401
169,Vitim,59.44,112.57,13.35,94,99,6.69,RU,1605415401
170,Antsohihy,-14.88,47.99,85.89,54,23,5.32,MG,1605415402
171,Kavieng,-2.57,150.8,85.8,69,59,11.3,PG,1605415402
172,La Esperanza,14.31,-88.18,56.68,100,39,3.38,HN,1605415402
173,Clyde River,70.47,-68.59,15.8,72,20,32.21,CA,1605415402
174,Nador,35.17,-2.93,59.0,82,0,2.24,MA,1605415402
175,Keflavik,64.0,-22.56,35.6,93,75,9.17,IS,1605415403
176,Abhā,18.39,42.45,55.4,81,20,2.39,SA,1605415403
177,Chokurdakh,70.62,147.9,-25.55,87,30,4.79,RU,1605415403
178,Le Marin,14.47,-60.87,77.0,94,75,5.82,MQ,1605415403
179,Tasiilaq,65.61,-37.64,21.42,97,100,7.4,GL,1605415403
180,Udachny,66.42,112.4,-0.4,84,75,4.47,RU,1605415403
181,Crown Hill,6.33,-10.8,75.9,91,6,3.98,LR,1605415404
182,Burnie,-41.05,145.91,64.99,56,45,8.01,AU,1605415404
183,Balclutha,-46.28,169.85,66.0,57,100,5.91,NZ,1605415404
184,Yatsuomachi-higashikumisaka,36.58,137.08,72.0,37,40,11.41,JP,1605415404
185,MacKay,53.65,-115.58,21.2,92,20,2.24,CA,1605415404
186,Lagoa,37.14,-8.45,66.99,100,40,6.93,PT,1605415405
187,Blackwater,-23.58,149.07,99.05,21,8,3.29,AU,1605415405
188,Saint-Georges,46.12,-70.67,30.2,63,0,2.24,CA,1605415219
189,Naryan-Mar,67.67,53.09,31.08,99,100,13.09,RU,1605415405
190,Port Hedland,-20.31,118.58,96.8,30,0,18.34,AU,1605415152
191,Hithadhoo,-0.6,73.08,83.66,76,100,15.61,MV,1605415406
192,Beringovskiy,63.05,179.32,20.26,90,0,7.54,RU,1605415406
193,Coraki,-28.95,153.24,87.8,55,0,11.41,AU,1605415406
194,Ilulissat,69.22,-51.1,1.4,54,0,24.16,GL,1605415406
195,Coquimbo,-29.95,-71.34,53.6,87,2,2.24,CL,1605415406
196,Grand Baie,-20.02,57.58,79.0,65,21,8.99,MU,1605415406
197,Kaabong,3.51,34.14,67.55,73,3,13.6,UG,1605415407
198,Ampliación Colonia Lázaro Cárdenas,28.39,-105.62,59.0,35,5,4.7,MX,1605415407
199,Luanda,-8.83,13.24,75.2,94,40,2.24,AO,1605415407
200,Río Gallegos,-51.62,-69.22,51.8,50,40,19.46,AR,1605415407
201,Namatanai,-3.66,152.44,86.43,66,41,8.23,PG,1605415407
202,Severo-Kuril'sk,50.68,156.12,36.57,81,94,20.76,RU,1605415408
203,Choujiang,29.22,119.85,72.86,44,0,2.77,CN,1605415408
204,Namioka,40.71,140.59,60.01,54,75,12.75,JP,1605415401
205,Mnogovershinnyy,53.94,139.92,22.82,90,69,17.22,RU,1605415408
206,San Rafael del Sur,11.85,-86.44,80.6,78,20,6.93,NI,1605415408
207,Paamiut,61.99,-49.67,22.28,78,0,27.89,GL,1605415409
208,Ribeira Grande,38.52,-28.7,63.59,81,99,10.42,PT,1605415409
209,South Kalimantan,-2.54,115.51,93.58,49,41,3.38,ID,1605415409
210,Mount Gambier,-37.83,140.78,91.4,19,13,17.22,AU,1605415409
211,Pesca,5.56,-73.05,50.54,81,94,1.59,CO,1605415409
212,Mount Isa,-20.73,139.49,102.2,21,40,12.75,AU,1605415410
213,Larbont,42.87,1.37,52.0,27,22,3.0,FR,1605415410
214,Hobart,-42.88,147.33,60.01,87,75,3.36,AU,1605415244
215,Mountjoy,53.35,-6.26,50.0,93,75,3.36,IE,1605415300
216,New Salalah,17.01,54.1,75.2,47,0,3.36,OM,1605415410
217,Oskarsborg,68.38,17.6,44.6,75,37,20.8,NO,1605415410
218,Ust-Tsilma,65.44,52.15,24.82,97,90,4.72,RU,1605415411
219,Marawi,8.0,124.29,86.0,79,59,5.01,PH,1605415411
220,Nueva Loja,0.12,-76.97,71.67,91,89,1.5,EC,1605415411
221,Koronowo,53.31,17.94,46.99,100,99,2.24,PL,1605415411
222,Ekimchan,53.07,132.94,22.84,92,99,3.58,RU,1605415411
223,Carnarvon,-30.97,22.13,65.57,43,0,4.03,ZA,1605415412
224,Saint-Denis,48.94,2.36,57.2,82,0,16.11,FR,1605415412
225,Tabas,33.6,56.92,44.6,56,5,2.24,IR,1605415412
226,San Pedro,-33.68,-59.66,63.0,88,71,4.0,AR,1605415412
227,Aketi,2.74,23.78,70.36,94,97,1.61,CD,1605415412
228,Moses Lake,47.13,-119.28,42.8,81,90,16.11,US,1605415412
229,Província de Zambézia,-16.84,36.99,75.67,62,0,2.3,MZ,1605415413
230,Hamilton,43.26,-79.87,42.01,80,39,1.12,CA,1605415389
231,San Juan del Sur,11.25,-85.87,76.84,84,96,3.24,NI,1605415413
232,Katabu,-4.94,122.53,92.66,48,95,0.89,ID,1605415413
233,Banjar,-7.37,108.54,84.67,76,67,4.76,ID,1605415413
234,Provideniya,64.42,-173.23,17.19,85,52,4.07,RU,1605415414
235,Andradas,-22.07,-46.57,65.77,83,96,1.9,BR,1605415414
236,Magnano,45.46,8.01,46.99,86,53,3.0,IT,1605415414
237,Manzhouli,49.6,117.43,27.07,89,0,7.25,CN,1605415414
238,Lockhart,-35.22,146.72,98.6,12,0,14.99,AU,1605415414
239,Anadyr,64.73,177.51,8.6,78,0,6.71,RU,1605415415
240,Bandarbeyla,9.49,50.81,78.24,64,0,16.93,SO,1605415415
241,Buchach,49.06,25.39,45.0,83,93,3.13,UA,1605415415
242,Pasni,25.26,63.48,73.42,40,0,26.89,PK,1605415415
243,Tuktoyaktuk,69.44,-133.03,14.0,92,90,21.92,CA,1605415415
244,Okha,53.59,142.95,31.62,91,100,21.68,RU,1605415416
245,Puerto Escondido,15.86,-97.07,78.82,79,10,5.17,MX,1605415416
246,Ancud,-41.87,-73.83,42.01,86,0,4.7,CL,1605415416
247,Ādīs,8.96,38.73,58.35,50,3,2.51,ET,1605415416
248,Port Lincoln,-34.72,135.86,75.18,45,0,21.83,AU,1605415416
249,Leningradskiy,69.38,178.42,5.25,84,10,6.49,RU,1605415416
250,Kajaani,64.22,27.73,33.8,86,75,12.75,FI,1605415417
251,Murray Bridge,-35.12,139.28,98.01,23,92,3.0,AU,1605415417
252,Rocha,-34.48,-54.34,63.91,95,100,3.22,UY,1605415417
253,Tagusao,9.19,117.81,86.7,67,80,7.56,PH,1605415417
254,Cobija,-11.02,-68.77,74.77,84,68,1.9,BO,1605415417
255,Port-Gentil,-0.72,8.78,80.37,80,95,10.09,GA,1605415418
256,Te Anau,-45.41,167.72,60.37,76,100,4.47,NZ,1605415418
257,Kumul,42.84,93.51,49.17,45,47,9.46,CN,1605415418
258,Pahrump,36.21,-115.98,52.0,25,0,1.01,US,1605415130
259,Fort Frances,48.61,-93.4,32.0,98,1,4.81,CA,1605415418
260,Mthatha,-31.59,28.78,59.0,93,90,8.05,ZA,1605415419
261,Gora Sinyushina,52.21,104.21,28.4,79,20,2.24,RU,1605415419
262,Saint-Leu,-21.15,55.28,80.6,54,75,16.11,RE,1605415419
263,Gialo,29.03,21.55,56.57,74,0,5.66,LY,1605415419
264,Alice Springs,-23.7,133.88,102.2,16,15,16.11,AU,1605415419
265,Zaraza,9.35,-65.33,72.52,96,50,3.36,VE,1605415419
266,Dingle,11.0,122.67,85.44,77,42,12.91,PH,1605415420
267,Bodden Town,19.28,-81.25,82.0,84,76,14.0,KY,1605415420
268,Yoogali,-34.29,146.06,98.6,12,0,11.41,AU,1605415420
269,Coyhaique,-45.58,-72.07,48.2,57,0,5.82,CL,1605415244
270,São Félix do Xingu,-6.64,-51.99,71.6,93,76,0.16,BR,1605415420
