,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,Santa Rosa,-36.62,-64.29,54.25,69,0,7.07,AR,1605415421
272,Goderich,43.74,-81.71,39.2,64,78,16.11,CA,1605415421
273,Icaraí,-3.71,-38.6,81.0,83,75,16.11,BR,1605415421
274,Rabo de Peixe,37.8,-25.58,64.4,93,75,11.41,PT,1605415421
275,Soyo,-6.13,12.37,77.99,85,99,5.91,AO,1605415421
276,Cayenne,4.94,-52.33,75.2,100,72,9.42,GF,1605415422
277,Vila de Ala,41.42,-6.55,55.99,92,99,7.0,PT,1605415422
278,Saquisilí,-0.82,-78.63,51.8,76,75,8.05,EC,1605415422
279,Hasaki,35.73,140.83,68.0,48,20,9.17,JP,1605415422
280,Slave Lake,55.28,-114.77,14.0,92,75,4.7,CA,1605415422
281,Christchurch,-43.53,172.64,71.6,40,35,16.11,NZ,1605415423
282,Kibakwe,-6.71,36.37,72.0,66,82,4.18,TZ,1605415423
283,San Andres,13.32,122.68,85.8,72,39,11.03,PH,1605415423
284,Pangnirtung,66.15,-65.72,9.59,90,95,2.59,CA,1605415423
285,San Quintin,17.54,120.52,89.08,62,13,5.03,PH,1605415423
286,Mason,47.36,-123.1,42.01,100,90,8.05,US,1605415424
287,Dudinka,69.41,86.18,0.91,93,100,18.5,RU,1605415424
288,Florida,21.53,-78.23,71.6,94,89,6.93,CU,1605415424
289,Madikeri,12.42,75.74,86.0,66,20,9.17,IN,1605415424
290,Canaan,10.24,-61.45,77.0,94,53,1.01,TT,1605415424
291,Takoradze,4.89,-1.75,77.81,86,54,4.05,GH,1605415425
292,Lokomotivnyy,53.01,60.57,13.1,89,100,16.84,RU,1605415425
293,Khāsh,28.22,61.21,47.55,51,0,7.49,IR,1605415425
294,Mogok,22.92,96.51,78.44,50,0,2.28,MM,1605415425
295,Mikkeli,61.69,27.27,33.8,80,90,5.82,FI,1605415425
296,Jiuquan,39.73,98.49,49.95,44,0,5.75,CN,1605415426
297,Betafo,-19.84,46.86,69.37,62,18,3.87,MG,1605415426
298,Aitape,-3.15,142.36,85.28,74,78,7.74,PG,1605415426
299,Alofi,-19.06,-169.92,80.6,78,27,11.41,NU,1605415192
300,Yulara,-25.24,130.99,104.0,12,40,17.22,AU,1605415426
301,Kvarkeno,52.08,59.73,14.59,87,89,13.62,RU,1605415426
302,Salinópolis,-0.61,-47.36,80.44,82,75,9.98,BR,1605415427
303,Chunhuhub,19.59,-88.59,72.54,98,2,1.77,MX,1605415427
304,Dunedin,-45.87,170.5,66.0,56,100,12.28,NZ,1605415427
305,Kass Wollof,13.79,-15.05,73.44,21,0,6.4,GM,1605415427
306,Upernavik,72.79,-56.15,11.55,83,100,11.5,GL,1605415427
307,Ainaro,-8.93,125.41,82.22,41,45,4.56,TL,1605415428
308,Balkanabat,39.51,54.36,51.39,45,0,5.39,TM,1605415428
309,Syumsi,57.11,51.61,12.87,91,28,1.77,RU,1605415299
310,Loukhi,66.08,33.04,31.87,96,91,10.04,RU,1605415428
311,Baruun-Urt,46.68,113.28,34.38,76,60,5.59,MN,1605415428
312,Miraflores,5.2,-73.14,63.3,75,90,3.51,CO,1605415429
313,Gunjur,13.18,-16.76,69.8,100,0,9.73,GM,1605415429
314,Wajima,37.4,136.9,64.4,52,0,9.17,JP,1605415429
315,Buala,-8.15,159.59,85.66,69,88,8.16,SB,1605415429
316,Rajada,-6.44,-36.64,73.18,80,3,14.34,BR,1605415429
317,Cascades Region,10.64,-4.75,72.09,26,0,6.62,BF,1605415429
318,Mandera,3.94,41.86,81.46,62,0,7.56,KE,1605415430
319,Tshikapa,-6.42,20.79,68.07,93,82,0.63,CD,1605415430
320,Juneau,58.3,-134.42,35.6,93,90,6.93,US,1605415430
321,Sidney,47.72,-104.16,30.2,80,90,18.34,US,1605415430
322,Edd,13.93,41.69,82.38,55,40,2.53,ER,1605415430
323,Cockburn Town,21.46,-71.14,80.55,75,92,16.35,TC,1605415431
324,Shimokizukuri,40.81,140.39,60.01,54,75,12.75,JP,1605415431
325,Vung Tau,10.35,107.08,81.82,74,97,6.51,VN,1605415431
326,Ballinure,51.89,-8.4,45.0,87,75,17.22,IE,1605415431
327,Biltine,14.53,20.93,68.72,29,0,14.07,TD,1605415431
328,Ishigaki,24.34,124.16,80.6,78,75,14.99,JP,1605415432
329,Morant Bay,17.88,-76.41,82.4,69,20,18.34,JM,1605415432
330,Raduzhny,62.1,77.47,-2.11,90,1,4.47,RU,1605415432
331,San Patricio,-26.98,-56.83,67.68,93,100,9.91,PY,1605415432
332,Hulan Ergi,47.2,123.63,40.08,63,51,14.23,CN,1605415432
333,Thayetmyo,19.32,95.18,84.33,61,0,8.68,MM,1605415432
334,Acapulco de Juárez,16.86,-99.88,78.57,80,2,2.73,MX,1605415433
335,Port Shepstone,-30.74,30.45,69.85,74,54,6.02,ZA,1605415433
336,Tautira,-17.73,-149.15,80.6,78,20,6.93,PF,1605415433
337,Arequipa,-16.38,-71.56,51.42,52,0,0.54,PE,1605415433
338,Raymond,43.04,-71.18,32.0,66,0,3.85,US,1605415433
339,Road Town,18.42,-64.62,79.0,86,0,13.0,VG,1605414597
340,Yar-Sale,66.83,70.83,4.87,92,99,12.24,RU,1605415434
341,Iwanai,42.97,140.51,49.12,72,100,11.61,JP,1605415413
342,Eséka,3.65,10.77,72.03,95,76,1.39,CM,1605415434
343,Chiredzi,-21.05,31.67,72.75,56,2,4.18,ZW,1605415434
344,Tigil',57.8,158.67,34.09,95,100,9.48,RU,1605415435
345,Gibson,33.19,-82.53,55.99,82,1,3.36,US,1605415355
346,Muzhi,65.4,64.7,7.38,89,83,7.67,RU,1605415435
347,Promyshlennyy,67.55,63.78,8.13,96,99,10.65,RU,1605415435
348,Chapais,49.78,-74.86,21.2,79,40,4.7,CA,1605415435
349,Luwuk,-0.91,122.88,84.96,69,90,2.39,ID,1605415435
350,Darhan,49.49,105.92,31.08,88,100,2.59,MN,1605415436
351,Daru,7.99,-10.85,66.06,79,0,1.41,SL,1605415436
352,Onokhoy,51.92,108.05,19.4,73,67,1.43,RU,1605415436
353,Leh,34.16,77.58,35.31,58,35,8.99,IN,1605415436
354,Banda Aceh,5.56,95.32,84.49,69,76,1.72,ID,1605415392
355,Alyangula,-13.85,136.42,93.2,49,75,8.05,AU,1605415437
356,Sørland,67.67,12.69,46.09,91,100,25.08,NO,1605415437
357,Fort Nelson,58.81,-122.69,10.4,92,90,1.57,CA,1605415437
358,Serut,-8.09,111.9,84.61,73,76,8.48,ID,1605415437
359,Datong,40.09,113.3,54.34,41,55,0.94,CN,1605415437
360,Vila Franca do Campo,37.72,-25.43,64.4,93,75,11.41,PT,1605415438
361,Akureyri,65.68,-18.09,32.0,94,90,4.7,IS,1605415438
362,Ulladulla,-35.36,150.48,86.0,51,0,12.75,AU,1605415438
363,Ust'-Barguzin,53.41,109.03,27.66,89,21,3.49,RU,1605415438
364,Pampierstad,-27.78,24.69,76.8,31,20,11.52,ZA,1605415438
365,Zyryanovsk,49.74,84.27,27.68,81,100,2.17,KZ,1605415438
366,Cooma,-36.24,149.13,80.6,32,19,12.75,AU,1605415439
367,Sfântu Gheorghe,44.65,26.83,46.0,100,20,3.36,RO,1605415439
368,Carballo,43.21,-8.69,64.0,80,96,8.01,ES,1605415439
369,Kōchi,34.7,138.93,68.0,49,20,9.17,JP,1605415439
370,Novonukutskiy,53.7,102.71,22.91,91,64,2.59,RU,1605415440
371,Reguengos de Monsaraz,38.42,-7.53,62.6,93,75,11.41,PT,1605415440
372,Ocean City,30.44,-86.61,73.4,83,40,4.7,US,1605415440
373,Qinhuangdao,39.94,119.59,63.14,32,21,11.74,CN,1605415440
374,Muskegon,43.23,-86.25,44.6,81,90,17.22,US,1605415441
375,Kargasok,59.06,80.87,16.12,96,87,5.48,RU,1605415441
376,Gidan Sarkin Gardi,12.18,6.51,71.37,29,17,12.1,NG,1605415441
377,Kayseri,38.73,35.48,26.6,92,0,1.1,TR,1605415441
378,Quanzhou,24.9,118.59,78.8,54,0,8.95,CN,1605415442
379,Nago–Torbole,45.88,10.89,37.0,71,0,6.93,IT,1605415442
380,Medicine Hat,50.04,-110.68,24.8,79,20,6.93,CA,1605415442
381,Cherskiy,68.75,161.3,-5.62,85,97,6.51,RU,1605415442
382,Santa Maria,-29.69,-53.81,69.64,96,100,3.53,BR,1605415443
383,North Bend,43.41,-124.22,55.99,87,90,31.09,US,1605415221
384,Villa Pacajes,-16.5,-68.19,41.0,41,0,2.24,BO,1605415443
385,Geraldton,49.72,-86.95,33.8,92,90,9.17,CA,1605415443
386,Pons,45.6,-0.6,55.99,93,0,11.41,FR,1605415444
387,La Ronge,55.1,-105.3,15.8,78,50,4.7,CA,1605415444
388,Mossamedes,-15.19,12.15,68.38,79,17,6.96,AO,1605415444
389,Westport,53.8,-9.52,48.0,97,94,11.99,IE,1605415444
390,Juiz de Fora,-21.76,-43.35,65.62,94,100,0.92,BR,1605415296
391,Lagos,6.46,3.39,81.45,79,12,6.8,NG,1605415445
392,Half Moon Bay,37.46,-122.43,51.8,81,20,6.13,US,1605415445
393,Nelson Bay,-32.72,152.14,84.2,51,0,11.41,AU,1605415445
394,Tuatapere,-46.13,167.69,73.0,62,100,4.0,NZ,1605415445
395,Grindavik,63.84,-22.43,35.6,93,75,9.17,IS,1605415445
396,Xining,36.62,101.77,54.55,35,0,2.21,CN,1605415446
397,Kieta,-6.22,155.63,84.18,73,35,4.83,PG,1605415446
398,Kalabo,-15.0,22.67,69.06,87,91,1.97,ZM,1605415446
399,Sambava,-14.27,50.17,76.68,86,88,12.59,MG,1605415446
400,Wawa,9.9,4.41,73.99,43,4,4.34,NG,1605415447
401,Adh Dhayd,25.33,56.02,80.6,65,20,11.41,AE,1605415447
402,Labuan,5.28,115.24,87.8,79,20,2.24,MY,1605415447
403,Bradford Woods,40.63,-80.06,44.01,45,75,10.29,US,1605415447
404,Kyren,51.68,102.13,31.39,86,100,0.76,RU,1605415448
405,Boquira,-12.82,-42.73,72.0,65,65,2.55,BR,1605415448
406,Bathsheba,13.22,-59.52,78.8,88,20,13.87,BB,1605415448
407,Ogbomoso,8.13,4.25,70.36,96,4,2.28,NG,1605415448
408,Longyearbyen,78.22,15.63,41.0,75,40,28.86,SJ,1605415448
409,Diu,20.71,70.98,87.03,42,46,5.14,IN,1605415449
410,Shebalino,51.29,85.68,29.64,85,1,4.41,RU,1605415449
411,Ziarat Shah-i-Mardan,29.03,66.58,42.55,60,71,9.04,PK,1605415449
412,Hare Bay,48.86,-53.99,30.2,100,100,5.82,CA,1605415449
413,Kirkuk,35.47,44.4,61.09,39,73,0.56,IQ,1605415449
414,Kablaké,4.42,-7.36,77.4,87,21,6.06,CI,1605415450
415,Ahipara,-35.17,173.16,66.33,53,85,6.02,NZ,1605415450
416,Byron Bay,-28.65,153.62,82.99,74,1,14.99,AU,1605415450
417,Isangel,-19.55,169.27,79.75,73,13,11.01,VU,1605415450
418,Mandelieu-la-Napoule,43.56,6.97,53.6,93,0,4.7,FR,1605415450
419,Susuman,62.78,148.15,-9.13,88,97,1.81,RU,1605415451
420,Plattling,48.78,12.88,39.99,87,13,4.41,DE,1605415451
421,Arenápolis,-14.45,-56.85,76.03,77,93,3.89,BR,1605415451
422,Tocopilla,-22.09,-70.2,59.58,62,8,3.27,CL,1605415451
423,Ridgway,41.39,-78.88,37.4,59,75,9.17,US,1605415451
424,Hastings,-39.64,176.84,65.52,60,0,7.02,NZ,1605415452
425,Okhotsk,59.36,143.24,14.4,88,100,20.0,RU,1605415452
426,Maniitsoq,65.42,-52.9,13.87,82,0,9.6,GL,1605415452
427,Meulaboh,4.14,96.13,84.36,72,84,7.45,ID,1605415396
428,Cartagena del Chairá,1.33,-74.84,72.97,97,97,2.77,CO,1605415452
429,Macau,-5.11,-36.64,77.63,79,17,13.69,BR,1605415453
430,Svodín,47.91,18.5,46.0,93,90,4.7,SK,1605415453
431,Labuan,5.28,115.24,87.8,79,20,2.24,MY,1605415447
432,Don Luan,11.53,106.92,88.72,60,99,2.26,VN,1605415423
433,Zaysan,47.47,84.87,35.33,79,100,4.09,KZ,1605415453
434,Sioux Lookout,50.1,-91.92,32.0,98,90,4.7,CA,1605415453
435,Otane,-39.94,176.59,69.01,61,0,8.01,NZ,1605415454
436,Vila do Maio,15.13,-23.22,75.2,88,0,12.75,CV,1605415454
437,Brae,60.4,-1.35,51.8,93,84,17.22,GB,1605415454
438,Russkiy Aktash,55.04,52.12,12.2,92,40,2.24,RU,1605415454
439,Kokstad,-30.55,29.42,63.84,78,55,2.64,ZA,1605415454
440,Lucapa,-8.42,20.74,64.53,97,70,1.03,AO,1605415455
441,Birjand,32.86,59.22,30.2,63,0,6.93,IR,1605415455
442,Ingham,-18.65,146.16,87.44,51,0,9.82,AU,1605415325
443,Tilichiki,60.47,166.1,34.63,100,100,30.38,RU,1605415455
444,Doha,25.29,51.53,73.4,46,0,3.36,QA,1605415455
445,Makakilo,21.35,-158.09,80.6,61,1,4.7,US,1605415278
446,Lorengau,-2.02,147.27,86.02,69,41,12.1,PG,1605415456
447,Anan,33.91,134.64,66.2,63,40,9.17,JP,1605415456
448,Synya,65.37,58.04,9.12,92,66,9.84,RU,1605415456
449,Thanatpin,17.29,96.58,86.0,62,0,8.05,MM,1605415457
450,Altagracia de Orituco,9.86,-66.38,72.28,90,82,2.8,VE,1605415457
451,Anking,30.51,117.04,72.79,41,0,1.45,CN,1605415457
452,China,30.04,-94.42,73.4,94,1,9.17,US,1605415457
453,Lahaina,20.87,-156.68,78.8,61,40,11.41,US,1605415457
454,Hereford,52.06,-2.72,53.01,88,100,4.0,GB,1605415458
455,Orán,-23.13,-64.33,75.99,67,82,7.0,AR,1605415458
456,Manuk Mangkaw,4.8,119.85,84.36,66,100,1.77,PH,1605415458
457,Prainha,-1.8,-53.48,74.97,91,32,2.98,BR,1605415458
458,Pacific Grove,36.62,-121.92,52.0,87,1,6.93,US,1605414989
459,Tam Ky,15.57,108.48,78.8,83,75,4.7,VN,1605415458
460,Atasū,48.68,71.64,19.42,92,99,19.89,KZ,1605415459
461,Seshcha,53.73,33.34,29.48,99,93,8.75,RU,1605415459
462,Noril'sk,69.35,88.2,-5.85,89,100,9.08,RU,1605415459
463,Los Teques,10.35,-67.04,78.8,69,90,6.93,VE,1605415459
464,Santa Fe,-0.39,-78.55,55.4,54,75,2.24,EC,1605415460
465,San Ramón,12.92,-85.84,68.31,91,100,2.37,NI,1605415460
466,Nou Barris,41.43,2.16,61.0,100,71,1.12,ES,1605415460
467,Delogožda,41.28,20.71,40.42,80,100,2.68,MK,1605415460
468,Sawtell,-30.38,153.1,81.0,73,1,6.93,AU,1605415460
469,Seoul,37.57,126.98,62.6,67,75,7.38,KR,1605415271
470,Plettenberg Bay,-34.05,23.37,60.21,83,100,3.36,ZA,1605415461
471,Santa Helena,12.52,-70.03,82.4,83,20,10.29,AW,1605415461
472,Belmonte Municipality,40.36,-7.35,61.0,93,100,6.78,PT,1605415461
473,Bundaberg,-24.87,152.35,87.8,55,5,17.22,AU,1605415204
474,Samarinda,-0.5,117.14,92.32,48,23,6.51,ID,1605415461
475,Dzhezkazgan,47.8,67.71,20.88,90,74,13.94,KZ,1605415462
476,Obonoma,4.71,6.79,77.0,89,87,3.09,NG,1605415462
477,Narok,-1.09,35.87,64.47,69,37,4.14,KE,1605415462
478,Muravlenko,63.79,74.5,-7.31,90,56,5.39,RU,1605415462
479,Necochea,-38.55,-58.74,55.0,87,98,9.93,AR,1605415295
480,Talcahuano,-36.72,-73.12,51.8,76,4,9.17,CL,1605415463
481,San-Pédro,4.75,-6.64,76.86,87,46,2.08,CI,1605415463
482,Bismarck,46.81,-100.78,35.6,64,90,20.8,US,1605415270
483,San Pedro Jicayán,16.43,-97.98,70.36,96,13,2.44,MX,1605415463
484,Mīzan Teferī,6.99,35.58,67.75,80,42,2.17,ET,1605415463
485,Rio Manso,-20.33,-44.24,64.63,90,100,0.54,BR,1605415464
486,Egbe,8.18,5.65,73.27,82,91,1.83,NG,1605415464
487,Bouca,6.51,18.28,67.42,69,41,1.59,CF,1605415464
488,Bolobo,-2.17,16.23,70.05,92,58,2.33,CD,1605415464
489,Nuuk,64.17,-51.74,15.8,56,0,12.75,GL,1605415465
490,Baylo,7.85,126.06,85.64,74,39,5.32,PH,1605415465
491,Fuxin,42.02,121.65,61.39,36,0,4.65,CN,1605415465
492,Chërnaya Kholunitsa,58.85,51.72,12.43,92,22,4.21,RU,1605415465
493,Havelock,34.88,-76.9,63.0,82,1,3.36,US,1605415465
494,Traverse City,44.76,-85.62,44.6,48,90,14.99,US,1605415380
495,Champotón,19.35,-90.72,76.01,88,1,5.88,MX,1605415466
496,Mandalgovi,45.76,106.27,32.65,83,66,12.97,MN,1605415466
497,Delémont,47.36,7.34,45.0,100,90,1.12,CH,1605415466
498,Chauk,20.89,94.82,85.51,50,0,11.74,MM,1605415466
499,Kambove,-10.88,26.6,62.78,98,100,3.18,CD,1605415466
500,Tutóia,-2.76,-42.27,81.52,78,13,15.82,BR,1605415467
501,Touros,-5.2,-35.46,75.2,94,40,3.36,BR,1605415225
502,Babati,-4.21,35.75,69.1,77,97,2.66,TZ,1605415467
503,Graaff-Reinet,-32.25,24.53,57.99,84,28,3.0,ZA,1605415467
504,Noumea,-22.28,166.46,86.0,58,28,11.41,NC,1605415443
505,Pilot Butte,50.48,-104.42,21.2,85,100,24.16,CA,1605415467
506,Atar,20.52,-13.05,75.52,19,72,7.11,MR,1605415468
507,Valença do Piauí,-6.41,-41.75,79.03,43,90,2.21,BR,1605415387
508,Natchez,31.56,-91.4,68.0,88,1,8.05,US,1605415468
509,Denpasar,-8.65,115.22,89.6,75,40,10.29,ID,1605415278
510,Loikaw,19.67,97.21,79.02,53,0,3.69,MM,1605415468
511,Madaoua,14.07,5.96,74.5,22,2,14.0,NE,1605415469
512,Malindi,-3.22,40.12,82.02,69,1,6.38,KE,1605415333
513,Along,28.17,94.8,81.7,30,0,0.92,IN,1605415469
514,Bonito,-21.13,-56.49,75.04,73,0,4.21,BR,1605415469
515,Saint Anthony,43.97,-111.68,28.4,68,1,11.41,US,1605415469
516,High Prairie,55.43,-116.48,17.6,100,8,1.12,CA,1605415470
517,High Rock,26.63,-78.28,79.11,81,11,11.9,BS,1605415470
518,Måløy,61.99,5.14,50.0,76,100,19.46,NO,1605415470
519,Kununurra,-15.77,128.74,98.6,39,54,12.75,AU,1605415470
520,Mogadishu,2.04,45.34,80.6,69,9,9.17,SO,1605415471
521,Makkah al Mukarramah,21.43,39.83,78.37,61,11,3.22,SA,1605415471
522,Viedma,-40.81,-62.99,51.19,77,0,4.72,AR,1605415471
523,Tomatlán,19.93,-105.25,69.93,93,27,2.68,MX,1605415471
524,Lyuban',52.8,28.0,40.19,91,83,1.01,BY,1605415471
525,Bonavista,48.65,-53.11,33.01,100,100,5.82,CA,1605415471
526,Hirara,24.8,125.28,82.4,74,40,14.99,JP,1605415472
527,Lunlunta,-33.01,-68.8,57.2,82,0,3.36,AR,1605415472
528,Burns Lake,54.23,-125.76,19.4,92,100,3.76,CA,1605415472
529,Lempäälä,61.34,23.75,39.99,93,90,8.05,FI,1605415472
530,Nisab,14.4,46.47,68.13,27,32,2.89,YE,1605415472
531,Villaviciosa,43.48,-5.43,64.0,57,96,5.39,ES,1605415473
532,Padang,-0.92,100.36,87.13,65,53,2.98,ID,1605415473
533,Matam,15.66,-13.26,75.65,19,0,10.4,SN,1605415473
534,La Seyne-sur-Mer,43.1,5.88,59.0,83,89,14.0,FR,1605415473
535,Palu,-0.9,119.87,87.26,67,84,2.42,ID,1605415474
536,Tal'menka,53.82,83.56,23.0,73,75,11.18,RU,1605415474
537,Tamworth,-31.09,150.93,91.4,15,0,5.82,AU,1605415474
538,Perth,56.4,-3.43,48.99,86,68,1.01,GB,1605415474
539,Yabrūd,33.97,36.66,50.0,64,0,3.0,SY,1605415474
540,Durango,24.01,-104.61,55.62,43,0,5.28,MX,1605415474
541,Valliquerville,49.65,0.71,57.99,78,66,13.0,FR,1605415475
542,Novyy Urgal,51.07,132.56,30.36,90,61,1.41,RU,1605415475
543,Tongren,27.72,109.18,71.33,47,18,0.92,CN,1605415475
